Date,Time,Food,Sales,Temperature
2023-01-12,06:30,Mini Avocado Sandwich,1,-2.02
2023-01-12,06:30,Savouries,44,-2.02
2023-01-12,06:30,Mini Salami Sandwich,1,-2.02
2023-01-12,06:30,Salmon Bagel,6,-2.02
2023-01-12,06:30,Bread,47,-2.02
2023-01-12,06:30,Coffee,40,-2.02
2023-01-12,06:30,Mushroom Quiche,42,-2.02
2023-01-12,06:30,Soup,39,-2.02
2023-01-12,06:30,Sausage Roll,36,-2.02
2023-01-12,06:30,Chilled Juices,6,-2.02
2023-01-12,06:30,Cheese Straw,18,-2.02
2023-01-12,06:30,Spinach and Feta Roll,31,-2.02
2023-01-12,09:30,Ham Quiche,22,-1.34
2023-01-12,09:30,Ham and Cheese Croissant,29,-1.34
2023-01-12,09:30,Smoked Salmon Roll,17,-1.34
2023-01-12,09:30,Tea,33,-1.34
2023-01-12,09:30,Cinnamon Bun,9,-1.34
2023-01-12,09:30,Sweets,16,-1.34
2023-01-12,09:30,Mini Avocado Sandwich,16,-1.34
2023-01-12,09:30,Savouries,26,-1.34
2023-01-12,09:30,Mini Salami Sandwich,9,-1.34
2023-01-12,09:30,Salmon Bagel,14,-1.34
2023-01-12,09:30,Bread,25,-1.34
2023-01-12,09:30,Coffee,31,-1.34
2023-01-12,09:30,Mushroom Quiche,45,-1.34
2023-01-12,09:30,Soup,36,-1.34
2023-01-12,09:30,Sausage Roll,25,-1.34
2023-01-12,09:30,Chilled Juices,6,-1.34
2023-01-12,09:30,Cheese Straw,8,-1.34
2023-01-12,09:30,Spinach and Feta Roll,49,-1.34
2023-01-12,12:30,Ham Quiche,48,-1.92
2023-01-12,12:30,Ham and Cheese Croissant,49,-1.92
2023-01-12,12:30,Smoked Salmon Roll,17,-1.92
2023-01-12,12:30,Tea,33,-1.92
2023-01-12,12:30,Cinnamon Bun,2,-1.92
2023-01-12,12:30,Sweets,5,-1.92
2023-01-12,12:30,Mini Avocado Sandwich,16,-1.92
2023-01-12,12:30,Savouries,35,-1.92
2023-01-12,12:30,Mini Salami Sandwich,6,-1.92
2023-01-12,12:30,Salmon Bagel,6,-1.92
2023-01-12,12:30,Bread,29,-1.92
2023-01-12,12:30,Coffee,30,-1.92
2023-01-12,12:30,Mushroom Quiche,35,-1.92
2023-01-12,12:30,Soup,30,-1.92
2023-01-12,12:30,Sausage Roll,49,-1.92
2023-01-12,12:30,Chilled Juices,16,-1.92
2023-01-12,12:30,Cheese Straw,18,-1.92
2023-01-12,12:30,Spinach and Feta Roll,31,-1.92
2023-01-12,15:30,Ham Quiche,49,-2.01
2023-01-12,15:30,Ham and Cheese Croissant,22,-2.01
2023-01-12,15:30,Smoked Salmon Roll,3,-2.01
2023-01-12,15:30,Tea,43,-2.01
2023-01-12,15:30,Cinnamon Bun,8,-2.01
2023-01-12,15:30,Sweets,11,-2.01
2023-01-12,15:30,Mini Avocado Sandwich,2,-2.01
2023-01-12,15:30,Savouries,38,-2.01
2023-01-12,15:30,Mini Salami Sandwich,7,-2.01
2023-01-12,15:30,Salmon Bagel,10,-2.01
2023-01-12,15:30,Bread,44,-2.01
2023-01-12,15:30,Coffee,23,-2.01
2023-01-12,15:30,Mushroom Quiche,48,-2.01
2023-01-12,15:30,Soup,23,-2.01
2023-01-12,15:30,Sausage Roll,39,-2.01
2023-01-12,15:30,Chilled Juices,1,-2.01
2023-01-12,15:30,Cheese Straw,8,-2.01
2023-01-12,15:30,Spinach and Feta Roll,25,-2.01
2023-01-12,18:30,Ham Quiche,30,-2.8
2023-01-12,18:30,Ham and Cheese Croissant,34,-2.8
2023-01-12,18:30,Smoked Salmon Roll,15,-2.8
2023-01-12,18:30,Tea,41,-2.8
2023-01-12,18:30,Cinnamon Bun,5,-2.8
2023-01-12,18:30,Sweets,19,-2.8
2023-01-12,18:30,Mini Avocado Sandwich,12,-2.8
2023-01-12,18:30,Savouries,46,-2.8
2023-01-12,18:30,Mini Salami Sandwich,9,-2.8
2023-01-12,18:30,Salmon Bagel,14,-2.8
2023-01-12,18:30,Bread,20,-2.8
2023-01-12,18:30,Coffee,49,-2.8
2023-01-12,18:30,Mushroom Quiche,27,-2.8
2023-01-12,18:30,Soup,48,-2.8
2023-01-12,18:30,Sausage Roll,29,-2.8
2023-01-12,18:30,Chilled Juices,11,-2.8
2023-01-12,18:30,Cheese Straw,2,-2.8
2023-01-12,18:30,Spinach and Feta Roll,31,-2.8
2023-01-13,06:30,Ham Quiche,30,8.87
2023-01-13,06:30,Ham and Cheese Croissant,49,8.87
2023-01-13,06:30,Smoked Salmon Roll,18,8.87
2023-01-13,06:30,Tea,48,8.87
2023-01-13,06:30,Cinnamon Bun,3,8.87
2023-01-13,06:30,Sweets,5,8.87
2023-01-13,06:30,Mini Avocado Sandwich,2,8.87
2023-01-13,06:30,Savouries,29,8.87
2023-01-13,06:30,Mini Salami Sandwich,15,8.87
2023-01-13,06:30,Salmon Bagel,19,8.87
2023-01-13,06:30,Bread,20,8.87
2023-01-13,06:30,Coffee,23,8.87
2023-01-13,06:30,Mushroom Quiche,42,8.87
2023-01-13,06:30,Soup,27,8.87
2023-01-13,06:30,Sausage Roll,21,8.87
2023-01-13,06:30,Chilled Juices,19,8.87
2023-01-13,06:30,Cheese Straw,6,8.87
2023-01-13,06:30,Spinach and Feta Roll,28,8.87
2023-01-13,09:30,Ham Quiche,32,7.86
2023-01-13,09:30,Ham and Cheese Croissant,25,7.86
2023-01-13,09:30,Smoked Salmon Roll,12,7.86
2023-01-13,09:30,Tea,22,7.86
2023-01-13,09:30,Cinnamon Bun,10,7.86
2023-01-13,09:30,Sweets,7,7.86
2023-01-13,09:30,Mini Avocado Sandwich,14,7.86
2023-01-13,09:30,Savouries,25,7.86
2023-01-13,09:30,Mini Salami Sandwich,5,7.86
2023-01-13,09:30,Salmon Bagel,16,7.86
2023-01-13,09:30,Bread,37,7.86
2023-01-13,09:30,Coffee,41,7.86
2023-01-13,09:30,Mushroom Quiche,31,7.86
2023-01-13,09:30,Soup,25,7.86
2023-01-13,09:30,Sausage Roll,27,7.86
2023-01-13,09:30,Chilled Juices,6,7.86
2023-01-13,09:30,Cheese Straw,9,7.86
2023-01-13,09:30,Spinach and Feta Roll,46,7.86
2023-01-13,12:30,Ham Quiche,38,9.35
2023-01-13,12:30,Ham and Cheese Croissant,30,9.35
2023-01-13,12:30,Smoked Salmon Roll,10,9.35
2023-01-13,12:30,Tea,34,9.35
2023-01-13,12:30,Cinnamon Bun,15,9.35
2023-01-13,12:30,Sweets,11,9.35
2023-01-13,12:30,Mini Avocado Sandwich,17,9.35
2023-01-13,12:30,Savouries,25,9.35
2023-01-13,12:30,Mini Salami Sandwich,6,9.35
2023-01-13,12:30,Salmon Bagel,9,9.35
2023-01-13,12:30,Bread,38,9.35
2023-01-13,12:30,Coffee,28,9.35
2023-01-13,12:30,Mushroom Quiche,37,9.35
2023-01-13,12:30,Soup,22,9.35
2023-01-13,12:30,Sausage Roll,36,9.35
2023-01-13,12:30,Chilled Juices,17,9.35
2023-01-13,12:30,Cheese Straw,3,9.35
2023-01-13,12:30,Spinach and Feta Roll,38,9.35
2023-01-13,15:30,Ham Quiche,35,5.02
2023-01-13,15:30,Ham and Cheese Croissant,22,5.02
2023-01-13,15:30,Smoked Salmon Roll,5,5.02
2023-01-13,15:30,Tea,37,5.02
2023-01-13,15:30,Cinnamon Bun,12,5.02
2023-01-13,15:30,Sweets,10,5.02
2023-01-13,15:30,Mini Avocado Sandwich,12,5.02
2023-01-13,15:30,Savouries,40,5.02
2023-01-13,15:30,Mini Salami Sandwich,11,5.02
2023-01-13,15:30,Salmon Bagel,16,5.02
2023-01-13,15:30,Bread,47,5.02
2023-01-13,15:30,Coffee,29,5.02
2023-01-13,15:30,Mushroom Quiche,37,5.02
2023-01-13,15:30,Soup,34,5.02
2023-01-13,15:30,Sausage Roll,29,5.02
2023-01-13,15:30,Chilled Juices,18,5.02
2023-01-13,15:30,Cheese Straw,15,5.02
2023-01-13,15:30,Spinach and Feta Roll,43,5.02
2023-01-13,18:30,Ham Quiche,21,4.23
2023-01-13,18:30,Ham and Cheese Croissant,26,4.23
2023-01-13,18:30,Smoked Salmon Roll,4,4.23
2023-01-13,18:30,Tea,45,4.23
2023-01-13,18:30,Cinnamon Bun,10,4.23
2023-01-13,18:30,Sweets,19,4.23
2023-01-13,18:30,Mini Avocado Sandwich,4,4.23
2023-01-13,18:30,Savouries,33,4.23
2023-01-13,18:30,Mini Salami Sandwich,12,4.23
2023-01-13,18:30,Salmon Bagel,10,4.23
2023-01-13,18:30,Bread,41,4.23
2023-01-13,18:30,Coffee,21,4.23
2023-01-13,18:30,Mushroom Quiche,39,4.23
2023-01-13,18:30,Soup,42,4.23
2023-01-13,18:30,Sausage Roll,49,4.23
2023-01-13,18:30,Chilled Juices,17,4.23
2023-01-13,18:30,Cheese Straw,19,4.23
2023-01-13,18:30,Spinach and Feta Roll,47,4.23
2023-01-14,06:30,Ham Quiche,20,6.53
2023-01-14,06:30,Ham and Cheese Croissant,30,6.53
2023-01-14,06:30,Smoked Salmon Roll,6,6.53
2023-01-14,06:30,Tea,49,6.53
2023-01-14,06:30,Cinnamon Bun,7,6.53
2023-01-14,06:30,Sweets,7,6.53
2023-01-14,06:30,Mini Avocado Sandwich,5,6.53
2023-01-14,06:30,Savouries,43,6.53
2023-01-14,06:30,Mini Salami Sandwich,13,6.53
2023-01-14,06:30,Salmon Bagel,6,6.53
2023-01-14,06:30,Bread,37,6.53
2023-01-14,06:30,Coffee,23,6.53
2023-01-14,06:30,Mushroom Quiche,38,6.53
2023-01-14,06:30,Soup,40,6.53
2023-01-14,06:30,Sausage Roll,39,6.53
2023-01-14,06:30,Chilled Juices,19,6.53
2023-01-14,06:30,Cheese Straw,16,6.53
2023-01-14,06:30,Spinach and Feta Roll,30,6.53
2023-01-14,09:30,Ham Quiche,27,5.99
2023-01-14,09:30,Ham and Cheese Croissant,32,5.99
2023-01-14,09:30,Smoked Salmon Roll,5,5.99
2023-01-14,09:30,Tea,24,5.99
2023-01-14,09:30,Cinnamon Bun,18,5.99
2023-01-14,09:30,Sweets,4,5.99
2023-01-14,09:30,Mini Avocado Sandwich,1,5.99
2023-01-14,09:30,Savouries,35,5.99
2023-01-14,09:30,Mini Salami Sandwich,13,5.99
2023-01-14,09:30,Salmon Bagel,2,5.99
2023-01-14,09:30,Bread,28,5.99
2023-01-14,09:30,Coffee,36,5.99
2023-01-14,09:30,Mushroom Quiche,45,5.99
2023-01-14,09:30,Soup,43,5.99
2023-01-14,09:30,Sausage Roll,39,5.99
2023-01-14,09:30,Chilled Juices,1,5.99
2023-01-14,09:30,Cheese Straw,11,5.99
2023-01-14,09:30,Spinach and Feta Roll,42,5.99
2023-01-14,12:30,Ham Quiche,24,2.87
2023-01-14,12:30,Ham and Cheese Croissant,20,2.87
2023-01-14,12:30,Smoked Salmon Roll,6,2.87
2023-01-14,12:30,Tea,25,2.87
2023-01-14,12:30,Cinnamon Bun,15,2.87
2023-01-14,12:30,Sweets,17,2.87
2023-01-14,12:30,Mini Avocado Sandwich,12,2.87
2023-01-14,12:30,Savouries,45,2.87
2023-01-14,12:30,Mini Salami Sandwich,14,2.87
2023-01-14,12:30,Salmon Bagel,11,2.87
2023-01-14,12:30,Bread,36,2.87
2023-01-14,12:30,Coffee,21,2.87
2023-01-14,12:30,Mushroom Quiche,29,2.87
2023-01-14,12:30,Soup,27,2.87
2023-01-14,12:30,Sausage Roll,49,2.87
2023-01-14,12:30,Chilled Juices,11,2.87
2023-01-14,12:30,Cheese Straw,2,2.87
2023-01-14,12:30,Spinach and Feta Roll,37,2.87
2023-01-14,15:30,Ham Quiche,21,6.92
2023-01-14,15:30,Ham and Cheese Croissant,22,6.92
2023-01-14,15:30,Smoked Salmon Roll,15,6.92
2023-01-14,15:30,Tea,39,6.92
2023-01-14,15:30,Cinnamon Bun,19,6.92
2023-01-14,15:30,Sweets,11,6.92
2023-01-14,15:30,Mini Avocado Sandwich,5,6.92
2023-01-14,15:30,Savouries,28,6.92
2023-01-14,15:30,Mini Salami Sandwich,14,6.92
2023-01-14,15:30,Salmon Bagel,19,6.92
2023-01-14,15:30,Bread,28,6.92
2023-01-14,15:30,Coffee,42,6.92
2023-01-14,15:30,Mushroom Quiche,47,6.92
2023-01-14,15:30,Soup,40,6.92
2023-01-14,15:30,Sausage Roll,34,6.92
2023-01-14,15:30,Chilled Juices,10,6.92
2023-01-14,15:30,Cheese Straw,14,6.92
2023-01-14,15:30,Spinach and Feta Roll,44,6.92
2023-01-14,18:30,Ham Quiche,32,1.27
2023-01-14,18:30,Ham and Cheese Croissant,23,1.27
2023-01-14,18:30,Smoked Salmon Roll,18,1.27
2023-01-14,18:30,Tea,27,1.27
2023-01-14,18:30,Cinnamon Bun,17,1.27
2023-01-14,18:30,Sweets,4,1.27
2023-01-14,18:30,Mini Avocado Sandwich,10,1.27
2023-01-14,18:30,Savouries,47,1.27
2023-01-14,18:30,Mini Salami Sandwich,3,1.27
2023-01-14,18:30,Salmon Bagel,2,1.27
2023-01-14,18:30,Bread,31,1.27
2023-01-14,18:30,Coffee,33,1.27
2023-01-14,18:30,Mushroom Quiche,43,1.27
2023-01-14,18:30,Soup,47,1.27
2023-01-14,18:30,Sausage Roll,35,1.27
2023-01-14,18:30,Chilled Juices,18,1.27
2023-01-14,18:30,Cheese Straw,15,1.27
2023-01-14,18:30,Spinach and Feta Roll,42,1.27
2023-01-15,06:30,Ham Quiche,21,8.94
2023-01-15,06:30,Ham and Cheese Croissant,39,8.94
2023-01-15,06:30,Smoked Salmon Roll,5,8.94
2023-01-15,06:30,Tea,40,8.94
2023-01-15,06:30,Cinnamon Bun,17,8.94
2023-01-15,06:30,Sweets,7,8.94
2023-01-15,06:30,Mini Avocado Sandwich,11,8.94
2023-01-15,06:30,Savouries,40,8.94
2023-01-15,06:30,Mini Salami Sandwich,7,8.94
2023-01-15,06:30,Salmon Bagel,3,8.94
2023-01-15,06:30,Bread,21,8.94
2023-01-15,06:30,Coffee,33,8.94
2023-01-15,06:30,Mushroom Quiche,24,8.94
2023-01-15,06:30,Soup,47,8.94
2023-01-15,06:30,Sausage Roll,28,8.94
2023-01-15,06:30,Chilled Juices,6,8.94
2023-01-15,06:30,Cheese Straw,12,8.94
2023-01-15,06:30,Spinach and Feta Roll,38,8.94
2023-01-15,09:30,Ham Quiche,37,6.23
2023-01-15,09:30,Ham and Cheese Croissant,38,6.23
2023-01-15,09:30,Smoked Salmon Roll,5,6.23
2023-01-15,09:30,Tea,24,6.23
2023-01-15,09:30,Cinnamon Bun,3,6.23
2023-01-15,09:30,Sweets,7,6.23
2023-01-15,09:30,Mini Avocado Sandwich,10,6.23
2023-01-15,09:30,Savouries,23,6.23
2023-01-15,09:30,Mini Salami Sandwich,13,6.23
2023-01-15,09:30,Salmon Bagel,6,6.23
2023-01-15,09:30,Bread,30,6.23
2023-01-15,09:30,Coffee,44,6.23
2023-01-15,09:30,Mushroom Quiche,33,6.23
2023-01-15,09:30,Soup,45,6.23
2023-01-15,09:30,Sausage Roll,38,6.23
2023-01-15,09:30,Chilled Juices,17,6.23
2023-01-15,09:30,Cheese Straw,17,6.23
2023-01-15,09:30,Spinach and Feta Roll,49,6.23
2023-01-15,12:30,Ham Quiche,21,4.21
2023-01-15,12:30,Ham and Cheese Croissant,28,4.21
2023-01-15,12:30,Smoked Salmon Roll,8,4.21
2023-01-15,12:30,Tea,31,4.21
2023-01-15,12:30,Cinnamon Bun,5,4.21
2023-01-15,12:30,Sweets,17,4.21
2023-01-15,12:30,Mini Avocado Sandwich,17,4.21
2023-01-15,12:30,Savouries,41,4.21
2023-01-15,12:30,Mini Salami Sandwich,12,4.21
2023-01-15,12:30,Salmon Bagel,7,4.21
2023-01-15,12:30,Bread,39,4.21
2023-01-15,12:30,Coffee,26,4.21
2023-01-15,12:30,Mushroom Quiche,32,4.21
2023-01-15,12:30,Soup,40,4.21
2023-01-15,12:30,Sausage Roll,22,4.21
2023-01-15,12:30,Chilled Juices,11,4.21
2023-01-15,12:30,Cheese Straw,19,4.21
2023-01-15,12:30,Spinach and Feta Roll,38,4.21
2023-01-15,15:30,Ham Quiche,27,3.82
2023-01-15,15:30,Ham and Cheese Croissant,40,3.82
2023-01-15,15:30,Smoked Salmon Roll,9,3.82
2023-01-15,15:30,Tea,28,3.82
2023-01-15,15:30,Cinnamon Bun,8,3.82
2023-01-15,15:30,Sweets,12,3.82
2023-01-15,15:30,Mini Avocado Sandwich,4,3.82
2023-01-15,15:30,Savouries,47,3.82
2023-01-15,15:30,Mini Salami Sandwich,3,3.82
2023-01-15,15:30,Salmon Bagel,3,3.82
2023-01-15,15:30,Bread,28,3.82
2023-01-15,15:30,Coffee,30,3.82
2023-01-15,15:30,Mushroom Quiche,30,3.82
2023-01-15,15:30,Soup,35,3.82
2023-01-15,15:30,Sausage Roll,46,3.82
2023-01-15,15:30,Chilled Juices,18,3.82
2023-01-15,15:30,Cheese Straw,19,3.82
2023-01-15,15:30,Spinach and Feta Roll,22,3.82
2023-01-15,18:30,Ham Quiche,36,6.17
2023-01-15,18:30,Ham and Cheese Croissant,28,6.17
2023-01-15,18:30,Smoked Salmon Roll,8,6.17
2023-01-15,18:30,Tea,29,6.17
2023-01-15,18:30,Cinnamon Bun,15,6.17
2023-01-15,18:30,Sweets,14,6.17
2023-01-15,18:30,Mini Avocado Sandwich,8,6.17
2023-01-15,18:30,Savouries,29,6.17
2023-01-15,18:30,Mini Salami Sandwich,3,6.17
2023-01-15,18:30,Salmon Bagel,2,6.17
2023-01-15,18:30,Bread,48,6.17
2023-01-15,18:30,Coffee,41,6.17
2023-01-15,18:30,Mushroom Quiche,30,6.17
2023-01-15,18:30,Soup,20,6.17
2023-01-15,18:30,Sausage Roll,37,6.17
2023-01-15,18:30,Chilled Juices,14,6.17
2023-01-15,18:30,Cheese Straw,7,6.17
2023-01-15,18:30,Spinach and Feta Roll,25,6.17
2023-01-16,06:30,Ham Quiche,21,0.18
2023-01-16,06:30,Ham and Cheese Croissant,23,0.18
2023-01-16,06:30,Smoked Salmon Roll,13,0.18
2023-01-16,06:30,Tea,37,0.18
2023-01-16,06:30,Cinnamon Bun,1,0.18
2023-01-16,06:30,Sweets,1,0.18
2023-01-16,06:30,Mini Avocado Sandwich,9,0.18
2023-01-16,06:30,Savouries,21,0.18
2023-01-16,06:30,Mini Salami Sandwich,19,0.18
2023-01-16,06:30,Salmon Bagel,19,0.18
2023-01-16,06:30,Bread,28,0.18
2023-01-16,06:30,Coffee,30,0.18
2023-01-16,06:30,Mushroom Quiche,40,0.18
2023-01-16,06:30,Soup,43,0.18
2023-01-16,06:30,Sausage Roll,37,0.18
2023-01-16,06:30,Chilled Juices,10,0.18
2023-01-16,06:30,Cheese Straw,9,0.18
2023-01-16,06:30,Spinach and Feta Roll,42,0.18
2023-01-16,09:30,Ham Quiche,25,-2.75
2023-01-16,09:30,Ham and Cheese Croissant,21,-2.75
2023-01-16,09:30,Smoked Salmon Roll,4,-2.75
2023-01-16,09:30,Tea,33,-2.75
2023-01-16,09:30,Cinnamon Bun,11,-2.75
2023-01-16,09:30,Sweets,9,-2.75
2023-01-16,09:30,Mini Avocado Sandwich,11,-2.75
2023-01-16,09:30,Savouries,29,-2.75
2023-01-16,09:30,Mini Salami Sandwich,18,-2.75
2023-01-16,09:30,Salmon Bagel,19,-2.75
2023-01-16,09:30,Bread,25,-2.75
2023-01-16,09:30,Coffee,27,-2.75
2023-01-16,09:30,Mushroom Quiche,28,-2.75
2023-01-16,09:30,Soup,36,-2.75
2023-01-16,09:30,Sausage Roll,34,-2.75
2023-01-16,09:30,Chilled Juices,3,-2.75
2023-01-16,09:30,Cheese Straw,7,-2.75
2023-01-16,09:30,Spinach and Feta Roll,21,-2.75
2023-01-16,12:30,Ham Quiche,26,-1.76
2023-01-16,12:30,Ham and Cheese Croissant,29,-1.76
2023-01-16,12:30,Smoked Salmon Roll,17,-1.76
2023-01-16,12:30,Tea,38,-1.76
2023-01-16,12:30,Cinnamon Bun,15,-1.76
2023-01-16,12:30,Sweets,13,-1.76
2023-01-16,12:30,Mini Avocado Sandwich,2,-1.76
2023-01-16,12:30,Savouries,22,-1.76
2023-01-16,12:30,Mini Salami Sandwich,9,-1.76
2023-01-16,12:30,Salmon Bagel,15,-1.76
2023-01-16,12:30,Bread,45,-1.76
2023-01-16,12:30,Coffee,38,-1.76
2023-01-16,12:30,Mushroom Quiche,30,-1.76
2023-01-16,12:30,Soup,49,-1.76
2023-01-16,12:30,Sausage Roll,32,-1.76
2023-01-16,12:30,Chilled Juices,2,-1.76
2023-01-16,12:30,Cheese Straw,12,-1.76
2023-01-16,12:30,Spinach and Feta Roll,21,-1.76
2023-01-16,15:30,Ham Quiche,22,2.51
2023-01-16,15:30,Ham and Cheese Croissant,29,2.51
2023-01-16,15:30,Smoked Salmon Roll,2,2.51
2023-01-16,15:30,Tea,29,2.51
2023-01-16,15:30,Cinnamon Bun,17,2.51
2023-01-16,15:30,Sweets,7,2.51
2023-01-16,15:30,Mini Avocado Sandwich,4,2.51
2023-01-16,15:30,Savouries,34,2.51
2023-01-16,15:30,Mini Salami Sandwich,18,2.51
2023-01-16,15:30,Salmon Bagel,13,2.51
2023-01-16,15:30,Bread,38,2.51
2023-01-16,15:30,Coffee,26,2.51
2023-01-16,15:30,Mushroom Quiche,40,2.51
2023-01-16,15:30,Soup,33,2.51
2023-01-16,15:30,Sausage Roll,38,2.51
2023-01-16,15:30,Chilled Juices,14,2.51
2023-01-16,15:30,Cheese Straw,2,2.51
2023-01-16,15:30,Spinach and Feta Roll,36,2.51
2023-01-16,18:30,Ham Quiche,24,-1.39
2023-01-16,18:30,Ham and Cheese Croissant,21,-1.39
2023-01-16,18:30,Smoked Salmon Roll,3,-1.39
2023-01-16,18:30,Tea,38,-1.39
2023-01-16,18:30,Cinnamon Bun,13,-1.39
2023-01-16,18:30,Sweets,17,-1.39
2023-01-16,18:30,Mini Avocado Sandwich,12,-1.39
2023-01-16,18:30,Savouries,29,-1.39
2023-01-16,18:30,Mini Salami Sandwich,19,-1.39
2023-01-16,18:30,Salmon Bagel,12,-1.39
2023-01-16,18:30,Bread,32,-1.39
2023-01-16,18:30,Coffee,21,-1.39
2023-01-16,18:30,Mushroom Quiche,49,-1.39
2023-01-16,18:30,Soup,27,-1.39
2023-01-16,18:30,Sausage Roll,29,-1.39
2023-01-16,18:30,Chilled Juices,8,-1.39
2023-01-16,18:30,Cheese Straw,19,-1.39
2023-01-16,18:30,Spinach and Feta Roll,43,-1.39
2023-01-17,06:30,Ham Quiche,34,0.23
2023-01-17,06:30,Ham and Cheese Croissant,23,0.23
2023-01-17,06:30,Smoked Salmon Roll,17,0.23
2023-01-17,06:30,Tea,37,0.23
2023-01-17,06:30,Cinnamon Bun,1,0.23
